0,
104153.2066,107061
102052.4554,87641
73412.02268,47595
91259.38412,82078
106349.0185,84288
116367.1664,118495
87151.56873,103379
101089.1149,100824
90222.15535,69157
81678.84272,66056
94695.29102,59692
123622.0148,97195
78320.18838,75817
96202.82398,98288
91595.75272,101829
99265.31424,63036
170963.9949,125796
90228.43286,105745
94843.85397,147674
87579.06591,84506
93918.81375,155426
78465.18693,126745
114796.1794,142200
128569.8506,160700
117542.549,143365
106167.7628,115556
98817.93628,65923
106394.2611,116747
96833.04764,96790
119325.7462,147425
148408.7654,57612
92376.89399,74967
93214.3165,110821
63074.5136,56842
87008.44518,58364
99442.41511,100483
76906.26088,64695
85712.69057,81561
92400.31103,69572
147189.7937,168870
103331.6536,66463
88339.74062,150931
80792.32475,82915
94787.64503,89053
96201.61575,169263
105011.417,113449
105845.8427,113220
95012.83489,111301
131398.7622,150195
74193.17703,44358
122475.3091,101340
80438.70765,61033
101563.0237,114912
132503.4202,118107
86579.17008,70066
93058.75853,131549
87682.33567,103645
104428.262,112427
118973.4304,64161
107229.8965,139799
86416.26217,68161
118588.8227,96204
101015.5641,144632
90492.93442,72305
111875.9591,104945
105061.6178,112467
104779.3012,95907
127556.5901,100220
103871.0088,137507
89506.05787,94367
87984.94443,74561
116319.9769,128966
109670.2708,118617
97323.00016,138261
105615.3869,158836
100753.1492,71987
103934.4422,85071
89435.93164,53020
87443.75979,83501
67537.26352,51535
133591.8644,119340
90640.64455,103187
96058.64923,129346
108177.7675,75019
100759.1245,101501
113185.3613,129004
85631.17036,65580
112623.3965,105940
86442.92715,104956
107393.2574,74979
107616.4727,94273
92020.50376,80105
88390.227,74077
110634.9633,134447
96551.32656,86315
96610.40472,132071
92521.05839,90322
85752.96499,57571
86249.78991,74859
111002.7013,79404
102018.4093,114988
87927.70504,89247
78935.15119,45558
127968.8726,173035
87301.52635,75175
97575.2883,167273
95213.48793,159443
93505.75444,95022
86687.02308,80072
97994.62607,65926
106038.4003,98404
121023.6056,87050
78265.63586,58218
96639.48605,91570
107185.1614,47460
94341.04652,131433
91695.81604,105330
105537.1408,119389
104957.5152,132416
87532.2205,79787
91093.98936,90515
119630.2963,105577
124098.6559,118753
106482.1101,90928
112227.2887,139466
93595.15105,54524
101538.1091,127827
95909.4998,97275
86280.15901,85381
100184.5312,81400
84184.31019,57328
98613.44581,109312
79876.9115,84092
70477.06743,48647
138914.3725,87020
92694.52893,107848
136894.5896,99229
103054.0293,147024
103820.8302,57973
121569.3285,122672
78308.96671,58222
95777.79635,169661
119672.4645,133100
117145.1031,94076
88494.85608,103464
77679.42054,68585
78488.25721,65298
92401.44174,94250
103917.4985,114701
138847.0283,159595
108566.6942,106009
105762.3354,73814
127440.9035,113997
102077.9056,75365
103299.4996,82701
80929.65347,97639
80117.68538,71474
107254.7167,102628
89579.59018,77826
111313.6879,118651
111699.1623,117858
96245.04605,96992
77160.73567,80037
84142.80473,99573
81448.46359,108058
130009.3007,131691
103602.1692,82782
95857.86751,116766
81462.21125,48105
145688.0949,123854
85855.15024,61334
101776.6259,84240
100257.941,94519
90911.62127,68255
90012.07196,74590
