TotalNecessaryExpenditure
107061
87641
47595
82078
84288
118495
103379
100824
69157
66056
59692
97195
75817
98288
101829
63036
125796
105745
147674
84506
155426
126745
142200
160700
143365
115556
65923
116747
96790
147425
57612
74967
110821
56842
58364
100483
64695
81561
69572
168870
66463
150931
82915
89053
169263
113449
113220
111301
150195
44358
101340
61033
114912
118107
70066
131549
103645
112427
64161
139799
68161
96204
144632
72305
104945
112467
95907
100220
137507
94367
74561
128966
118617
138261
158836
71987
85071
53020
83501
51535
119340
103187
129346
75019
101501
129004
65580
105940
104956
74979
94273
80105
74077
134447
86315
132071
90322
57571
74859
79404
114988
89247
45558
173035
75175
167273
159443
95022
80072
65926
98404
87050
58218
91570
47460
131433
105330
119389
132416
79787
90515
105577
118753
90928
139466
54524
127827
97275
85381
81400
57328
109312
84092
48647
87020
107848
99229
147024
57973
122672
58222
169661
133100
94076
103464
68585
65298
94250
114701
159595
106009
73814
113997
75365
82701
97639
71474
102628
77826
118651
117858
96992
80037
99573
108058
131691
82782
116766
48105
123854
61334
84240
94519
68255
74590
80461
180860
127326
84785
106855
97796
160286
93976
97850
88717
61133
125670
98208
113113
123475
130939
94703
101993
149380
45722
52669
125282
113289
113910
124060
59541
74572
120919
126758
100019
126900
85433
121262
97935
121550
106062
136080
122256
74630
75983
54510
147081
93094
47631
51954
72075
98995
91277
93972
123154
105734
107501
41760
51207
82560
110607
97576
88573
74903
155670
66604
114672
184545
114990
80897
78153
88972
108323
79418
98694
93105
77132
108749
90054
111447
76893
84166
112607
83670
87599
104824
70699
142181
74079
166158
99175
174222
113390
85393
77480
96675
51916
133796
106002
117828
120838
98994
143616
140852
150768
70553
78291
97681
90542
117119
125340
91472
79366
56793
98230
126675
95370
79631
78198
100250
81804
81096
91549
57527
139580
84550
134234
81402
117026
124572
103823
123072
65141
69681
80063
154700
101775
47648
112768
129269
161218
75063
96803
65086
102522
119573
133687
120670
169066
116842
108880
75942
68505
61011
66559
164501
184768
148033
84823
81096
170144
84401
58590
126488
39287
91735
44075
50047
80474
77409
186734
63804
108538
79410
139247
116495
82739
64923
94677
63022
103546
108115
122898
91853
93987
81733
70164
118832
94452
106746
84432
106855
77408
107963
88924
137897
89526
76232
94604
105816
77295
49865
88157
94225
131308
98962
74931
64805
69509
62037
65074
80171
95801
80297
56096
142132
105634
137533
128477
176140
69561
100848
138040
174020
104659
179463
79049
86140
64004
37254
75334
91474
87907
87891
102822
53347
82489
141895
86587
186723
53973
109654
160848
66216
105291
73135
136805
113211
90505
141402
146066
73325
76310
127196
123033
114580
83462
172645
88455
143937
88535
140528
112031
69399
86368
76054
89769
176749
122677
60939
119946
82953
91610
114449
169758
91029
71436
116996
57052
139476
92576
137171
76342
110418
83205
106815
164234
94196
162222
57556
123042
103815
70379
81045
140116
112813
123460
62542
134432
125137
116818
96680
95291
95010
131580
94499
97403
134967
151882
90128
127011
85663
60494
63237
96985
134159
53556
155040
112656
73808
134002
98416
81496
60421
166263
87747
120529
133638
107969
78048
66072
98092
130845
72900
170457
86745
68654
126223
66160
98179
109778
129607
104466
112284
113926
124414
79653
140335
99256
100640
178757
148132
130849
143342
78438
95536
62703
82130
89936
118074
91411
98421
131482
128179
99753
64101
102240
144734
90021
85603
128989
86304
55261
117486
156933
184735
99736
76616
115054
60229
97289
159978
54930
142584
103340
107386
94218
163262
112748
93957
93717
149202
101994
114698
101843
127337
66116
80535
113479
174817
82952
102447
86582
92755
104151
130386
79812
53370
127097
159497
101809
89722
78140
97523
82119
61686
117859
74187
110783
91724
119923
100876
96108
60783
93614
61876
100389
68890
110089
78204
125209
62114
91887
118849
63421
61408
76915
167915
121716
158712
88401
145989
67503
89289
148430
104912
65485
114118
109660
77412
99257
41258
87843
111433
123493
93735
120824
79808
92143
156770
162778
147945
138576
113551
116471
114179
74618
74246
112899
65357
102062
84964
51123
82059
98453
113348
62695
81790
140758
64957
63263
62282
109635
114502
101022
51597
101935
62315
105817
128505
133588
71259
143279
104014
100465
99189
116273
103317
100801
110469
82163
63778
70484
181488
75074
52058
149672
74462
111104
138330
66416
189775
61890
121550
152640
167466
45071
105903
122786
95186
115166
94972
83115
102985
142485
180043
86870
61691
50236
124917
158937
180245
88443
114821
110508
83108
92984
71354
97601
68853
90649
124060
150710
69658
57130
121129
136462
168665
58340
53975
50756
88325
123041
82000
83904
89338
49193
46430
77912
94988
144134
58276
59015
106328
132607
112545
103817
89979
150250
68135
120381
56455
100170
116241
98003
103257
112835
168571
132767
148290
99250
135574
143290
124038
144806
56595
162486
113191
135616
119997
102079
147777
61347
110134
118208
129647
178023
131678
85112
140454
160289
54174
84289
149458
108544
85191
78107
74950
130769
158939
112348
57199
80011
114037
108762
125351
47083
150464
124276
104354
122360
80203
59569
108866
114470
145609
135796
120973
67685
177947
109796
72322
63450
63966
173377
69430
46089
97628
82034
73186
88866
106184
70266
114218
104249
144434
152293
73699
130694
110200
69469
85799
96784
91421
92115
86778
81372
147015
73709
125745
70982
92411
113037
149448
84717
92420
123410
107374
170808
100550
84174
107164
82861
97502
56617
86154
62827
87264
130089
113397
92158
106763
96603
85717
145241
79880
109854
158997
97368
155444
130242
80544
76499
67148
122208
90164
79859
46681
127097
107993
87706
134376
97757
101849
58529
156820
131784
135685
77153
158743
61342
144365
77910
107085
169372
67834
131084
