CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2013 Score,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,,,,,,,,,,,,,,
14,Belarus,Belarus,Europe,154,42,48.0,-1.0,20.0,0.0,24.0,-1.0,88.8,2.2,43.5,8.6,75.2,3.9,76.9,-0.1,40.7,-24.6,80.8,0.4,20.0,0.0,10.0,0.0,2.1,12.0,18.0,25.6,43.4,Belarus,9.4,$141.8,5.3,6.4,"$15,028 ",N/A,53.2,"$3,985.8",50.2,,,,,,,,,,,,,,,
15,Belgium,Belgium,Europe,40,18,69.2,0.2,80.0,0.0,75.0,4.0,45.0,0.2,14.5,2.4,91.6,-0.7,69.8,-1.5,79.3,-1.9,86.8,-0.3,80.0,0.0,70.0,0.0,1.6,50.0,33.0,43.8,53.4,Belgium,11.0,$413.3,1.9,1.0,"$37,737 ",7.4,3.5,"$89,142.4",98.5,,,,,,,,,,,,,,,
16,Belize,Belize,South and Central America / Caribbean,102,20,57.3,-4.6,30.0,0.0,0.0,-20.0,82.2,-0.6,72.6,-2.0,72.6,-1.0,71.4,-10.8,77.3,-0.3,77.2,-0.9,40.0,-10.0,50.0,0.0,6.4,25.0,25.0,23.1,30.2,Belize,0.3,$2.8,2.5,2.0,"$8,264 ",13.1,1.9,$93.8,80.3,,,,,,,,,,,,,,,
17,Benin,Benin,Sub-Saharan Africa,101,15,57.6,1.9,30.0,0.0,30.0,2.0,76.1,-0.1,86.1,6.2,45.4,2.5,49.7,-1.8,79.9,0.2,59.3,0.0,70.0,10.0,50.0,0.0,15.4,35.0,30.0,16.2,21.6,Benin,9.9,$14.7,3.1,3.6,"$1,481 ",N/A,2.7,$118.5,31.3,,,,,,,,,,,,,,,
18,Bhutan,Bhutan,Asia-Pacific,122,25,55.0,-1.6,60.0,0.0,57.0,0.0,82.7,-1.1,38.8,-16.5,60.5,0.8,84.4,5.8,67.3,-5.3,49.5,0.0,20.0,0.0,30.0,0.0,17.8,25.0,30.0,14.4,45.2,Bhutan,0.7,$4.3,5.9,9.1,"$6,112 ",4.0,8.6,$13.9,82.0,,,,,,,,,,,,,,,
19,Bolivia,Bolivia,South and Central America / Caribbean,156,25,47.9,-2.3,10.0,0.0,28.0,0.0,88.8,1.8,64.1,1.9,55.8,-0.7,30.8,-10.0,67.4,-5.4,74.3,0.0,10.0,-10.0,50.0,0.0,5.4,13.0,25.0,18.0,34.6,Bolivia,10.6,$50.9,5.1,4.8,"$4,789 ",5.8,9.9,$858.9,32.9,,,,,,,,,,,,,,,
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,103,38,57.3,0.0,20.0,0.0,32.0,0.0,83.2,-1.1,26.9,2.5,54.3,-0.9,61.2,0.8,79.0,-1.7,86.4,0.4,70.0,0.0,60.0,0.0,1.8,10.0,10.0,38.5,49.4,Bosnia and Herzegovina,3.9,$31.6,1.7,2.2,"$8,133 ",43.3,3.7,$435.1,40.6,,,,,,,,,,,,,,,
21,Botswana,Botswana,Sub-Saharan Africa,30,2,70.6,1.0,70.0,0.0,61.0,3.0,79.5,1.2,65.1,11.4,69.0,-0.1,69.8,-0.4,72.0,-0.4,79.7,0.0,70.0,-5.0,70.0,0.0,5.2,25.0,22.0,30.7,34.1,Botswana,1.9,$29.7,4.6,2.8,"$16,030 ",7.5,8.5,$587.1,17.3,,,,,,,,,,,,,,,
22,Brazil,Brazil,South and Central America / Caribbean,100,19,57.7,-0.2,50.0,0.0,38.0,1.0,70.3,1.2,54.8,0.0,53.0,-0.7,57.2,-1.9,74.4,-1.4,69.7,0.0,50.0,0.0,60.0,0.0,7.6,27.5,34.0,32.5,38.8,Brazil,194.9,"$2,294.2",2.7,4.2,"$11,769 ",6.0,6.6,"$66,660.1",66.2,,,,,,,,,,,,,,,
23,Bulgaria,Bulgaria,Europe,60,29,65.0,0.3,30.0,0.0,33.0,-3.0,94.0,0.4,64.2,13.9,73.6,0.9,74.8,-9.4,78.6,0.8,86.8,-0.3,55.0,0.0,60.0,0.0,1.6,10.0,10.0,19.9,34.6,Bulgaria,7.4,$101.0,1.7,1.7,"$13,597 ",9.6,3.4,"$1,864.5",17.0,,,,,,,,,,,,,,,
